restaurant,items,price,date
Goli Vada Pav No.1 (Kundanahalli),Mixed Vegetable Cheese Vada Pav,63.0,2019-04-17
McDonald's (HSR Layout),Big Spicy Paneer Wrap McSaver,253.0,2019-04-17
McDonald's (HSR Layout),McSpicy Chicken McSaver,235.0,2019-04-17
Parotta Kadai,Paper Roast Dosai,70.0,2019-04-17
Parotta Kadai,Ghee Roast Dosai,80.0,2019-04-17
Sitara Veg.,Mushroom Fried Rice,140.0,2019-04-17
Sitara Veg.,Mushroom Noodles,140.0,2019-04-17
McDonald's (BTM Layout),McNuggets,292.0,2019-04-17
McDonald's (BTM Layout),McSpicy Chicken,288.0,2019-04-17
Lassi Corner,French Fries,58.0,2019-04-17
Lassi Corner,Masala Fries,68.0,2019-04-17
Taco Bell (Ascendas),Naked Chicken Taco,149.0,2019-04-17
Chakh Le India (Brookefields Lake),Onion Paratha,35.0,2019-04-17
Chakh Le India (Brookefields Lake),Palak Paratha,35.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Makai Palak Vada Pav,58.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Makai Palak Cheese Vada Pav,73.0,2019-04-17
McDonald's (HSR Layout),McSpicy Paneer McSaver,230.0,2019-04-17
McDonald's (HSR Layout),Filet-O-Fish McSaver,208.0,2019-04-17
Parotta Kadai,Vegetable Uttappam,70.0,2019-04-17
Parotta Kadai,Onion Uttappam,60.0,2019-04-17
Sitara Veg.,Paneer Fried Rice,150.0,2019-04-17
Sitara Veg.,Paneer Noodles,150.0,2019-04-17
McDonald's (BTM Layout),McSpicy Paneer,283.0,2019-04-17
McDonald's (BTM Layout),Big Spicy Chicken Wrap McSaver,262.0,2019-04-17
Lassi Corner,Veggie Potato,68.0,2019-04-17
Lassi Corner,Chilli Garlic Pops,68.0,2019-04-17
Taco Bell (Ascendas),Naked Chicken Taco Meal For 1,255.0,2019-04-17
Taco Bell (Ascendas),Naked Chicken Taco Meal For 2,425.0,2019-04-17
Chakh Le India (Brookefields Lake),Paneer Paratha,40.0,2019-04-17
Chakh Le India (Brookefields Lake),Plain Paratha Sabji,45.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Sabudana Pav,39.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Paneer Supreme Vada Pav,75.0,2019-04-17
McDonald's (HSR Layout),American Cheese Supreme - Chicken McSaver,208.0,2019-04-17
McDonald's (HSR Layout),Salad Wrap McSaver,192.0,2019-04-17
Parotta Kadai,Tomato Uttappam,70.0,2019-04-17
Parotta Kadai,Egg Dosai,60.0,2019-04-17
India Garden,Tomato Soup,80.0,2019-04-17
Sitara Veg.,Veg. Fried Rice,130.0,2019-04-17
Sitara Veg.,Veg. Noodles,135.0,2019-04-17
Burger King (Electronic City),Veg Whopper®,139.0,2019-04-17
McDonald's (BTM Layout),Chicken Maharaja Mac McSaver,262.0,2019-04-17
McDonald's (BTM Layout),Veg Maharaja Mac McSaver,253.0,2019-04-17
Lassi Corner,Smileys,69.0,2019-04-17
Lassi Corner,Veggie Nuggets,69.0,2019-04-17
High And Hungry,Peanut Masala,75.0,2019-04-17
Taco Bell (Ascendas),4 For 229 Meal Veg.,229.0,2019-04-17
Taco Bell (Ascendas),4 For 249 Meal Non-Veg.,249.0,2019-04-17
Chakh Le India (Brookefields Lake),Poori Sabji,50.0,2019-04-17
Chakh Le India (Brookefields Lake),Pudina Paratha,35.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Paneer Supreme Cheese Vada Pav,90.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Crispy Vada Pav,39.0,2019-04-17
McDonald's (HSR Layout),McChicken McSaver,193.0,2019-04-17
McDonald's (HSR Layout),American Cheese Supreme Veg,193.0,2019-04-17
Parotta Kadai,Chicken Dosai,105.0,2019-04-17
Parotta Kadai,Plain Parotta,20.0,2019-04-17
India Garden,Veg. Hot & Sour Soup,80.0,2019-04-17
India Garden,Veg. Sweet Corn Soup,90.0,2019-04-17
Sitara Veg.,Veg. Schezwan Fried Rice,150.0,2019-04-17
Sitara Veg.,Veg. Schezwan Fried  Noodles,150.0,2019-04-17
Burger King (Electronic City),Chicken Whopper®,149.0,2019-04-17
Burger King (Electronic City),Paneer King Melt,129.0,2019-04-17
McDonald's (BTM Layout),Big Spicy Paneer Wrap McSaver,253.0,2019-04-17
McDonald's (BTM Layout),McSpicy Chicken McSaver,235.0,2019-04-17
Lassi Corner,Veggie Fingers,69.0,2019-04-17
Lassi Corner,Cheese Jalapeno Samosa,69.0,2019-04-17
High And Hungry,Onion Pakoda,99.0,2019-04-17
High And Hungry,Paneer Pakoda,159.0,2019-04-17
Taco Bell (Ascendas),Veg. Tacos,79.0,2019-04-17
Taco Bell (Ascendas),Chicken Tacos,89.0,2019-04-17
Chakh Le India (Brookefields Lake),Roti Sabji,45.0,2019-04-17
Chakh Le India (Brookefields Lake),Sattu Paratha,40.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Crispy Cheese Vada Pav,54.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Chatpata Vada Pav,48.0,2019-04-17
McDonald's (HSR Layout),McVeggie McSaver,180.0,2019-04-17
McDonald's (HSR Layout),Chicken Kebab Wrap McSaver,149.0,2019-04-17
Parotta Kadai,Veechu Parotta,50.0,2019-04-17
Parotta Kadai,Veg. Chinese Parotta,90.0,2019-04-17
Godavari Delights,Chicken 65 Biryani,288.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Egg Fried Rice with Chicken 65,150.0,2019-04-17
India Garden,Chicken Sweet Corn Soup,90.0,2019-04-17
India Garden,Chicken Hot & Sour Soup,90.0,2019-04-17
Sitara Veg.,Aloo Gobhi Masala,130.0,2019-04-17
Sitara Veg.,Aloo Matar,130.0,2019-04-17
Burger King (Electronic City),Chicken Tandoor Grill,149.0,2019-04-17
Burger King (Electronic City),Veg Masala Whopper®,199.0,2019-04-17
McDonald's (BTM Layout),McSpicy Paneer McSaver,230.0,2019-04-17
McDonald's (BTM Layout),Filet-O-Fish McSaver,208.0,2019-04-17
Lassi Corner,Cheese Bites,69.0,2019-04-17
Lassi Corner,Cheesy Corn Triangles,79.0,2019-04-17
High And Hungry,Tawa Paneer,159.0,2019-04-17
High And Hungry,Chicken Pakoda,169.0,2019-04-17
Taco Bell (Ascendas),Veg. Burrito,179.0,2019-04-17
Taco Bell (Ascendas),Veg. 7 Layer Burrito,229.0,2019-04-17
Chakh Le India (Brookefields Lake),Special Egg Paratha,45.0,2019-04-17
Chakh Le India (Brookefields Lake),Butter Roti,12.0,2019-04-17
