restaurant,items,price,date
Pizza Hut (Baani Square),Tandoori Paneer,265.0,2019-04-17
Pizza Hut (Baani Square),Veggie Lover,265.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Peanut Butter Island Donut,99.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Frosted Donut,49.0,2019-04-17
Chinese Corner,Chilli Paneer Dry,140.0,2019-04-17
Chinese Corner,Chilli Mushroom Dry,215.0,2019-04-17
Nukkadwala (Sector 25),East India Burger,109.0,2019-04-17
Nukkadwala (Sector 25),Aloo Tikki Burger,49.0,2019-04-17
Pizza Hut (DT Mega Mall),Smoked Chicken,640.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Exotica,720.0,2019-04-17
Burger King  (MG Road),Veg Masala Whopper® Combo,298.0,2019-04-17
Burger King  (MG Road),Chicken Masala Whopper® Combo,308.0,2019-04-17
KFC (DT Mega Mall),Chicken Zinger*,142.0,2019-04-17
KFC (DT Mega Mall),8 Pc Hot & Crispy*,619.0,2019-04-17
Behrouz Biryani (Sohna Road),Lazeez Bhuna Murgh Biryani (Boneless) (Regular),323.0,2019-04-17
Burger King (Sohna Road),Chicken Tandoor Grill - Combo,248.0,2019-04-17
Burger King (Sohna Road),Veg Whopper® - Combo,238.0,2019-04-17
Pizza Hut (Super Mart-1),Country Feast,265.0,2019-04-17
Pizza Hut (Super Mart-1),Veggie Supreme,325.0,2019-04-17
Pind Balluchi (Sohna Road),Veg. Spring Roll,225.0,2019-04-17
Pind Balluchi (Sohna Road),Honey Chilli Potato,225.0,2019-04-17
Speedy Chow (DLF City Phase 4),Black Pepper Sauce- Veg [Full],495.0,2019-04-17
Speedy Chow (DLF City Phase 4),Hot Bean Sauce- Chicken [Full],575.0,2019-04-17
Pizza Hut (Baani Square),Country Feast,265.0,2019-04-17
Pizza Hut (Baani Square),Veggie Supreme,325.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Classic Glazed Donut,49.0,2019-04-17
Chinese Corner,Chilli Potato Dry,150.0,2019-04-17
Chinese Corner,Honey Chilli Potato,160.0,2019-04-17
Nukkadwala (Sector 25),Kutchi Dabeli,99.0,2019-04-17
Nukkadwala (Sector 25),Amritsari Chicken Burger,139.0,2019-04-17
Pizza Hut (DT Mega Mall),Spanish Tomato Veg Pasta,149.0,2019-04-17
Pizza Hut (DT Mega Mall),Spanish Tomato Non Veg Pasta,169.0,2019-04-17
Behrouz Biryani (DLF Phase 2),Soya Chaap Biryani (Regular),323.0,2019-04-17
Burger King  (MG Road),Mutton Masala Whopper® Combo,378.0,2019-04-17
Burger King  (MG Road),Veg Chilli Cheese Melt - Combo,208.0,2019-04-17
KFC (DT Mega Mall),4 Pc Smoky Grilled,361.0,2019-04-17
KFC (DT Mega Mall),6 Pc Boneless Strips,204.0,2019-04-17
KFC - DT City Centre,Large Popcorn,190.0,2019-04-17
Behrouz Biryani (Sohna Road),Subz - E - Falafel Biryani (Regular),314.0,2019-04-17
Behrouz Biryani (Sohna Road),Murgh Makhani Kefta Biryani (Regular),352.0,2019-04-17
Burger King (Sohna Road),Fiery Chicken - Combo,248.0,2019-04-17
Burger King (Sohna Road),Chicken Whopper® Combo,248.0,2019-04-17
Pizza Hut (Super Mart-1),Paneer,329.0,2019-04-17
Pizza Hut (Super Mart-1),Spice,279.0,2019-04-17
Pind Balluchi (Sohna Road),Veg. Hakka Noodles,275.0,2019-04-17
Pind Balluchi (Sohna Road),Veg. Fried Rice,280.0,2019-04-17
Speedy Chow (DLF City Phase 4),Hot Bean Sauce- Veg [Full],495.0,2019-04-17
Speedy Chow (DLF City Phase 4),Schezwan Style Sauce - Veg [Full],495.0,2019-04-17
Pizza Hut (Baani Square),Paneer,329.0,2019-04-17
Pizza Hut (Baani Square),Spice,279.0,2019-04-17
Chinese Corner,Mixed Vegetable Salt & Pepper,190.0,2019-04-17
Chinese Corner,Chilli Baby Corn Dry,190.0,2019-04-17
Nukkadwala (Sector 25),Nukkadwala Chicken burger,74.0,2019-04-17
Nukkadwala (Sector 25),Chicken Dabeli,149.0,2019-04-17
Pizza Hut (DT Mega Mall),Spicy Baked Chicken Wings,169.0,2019-04-17
Pizza Hut (DT Mega Mall),Cheese Garlic Bread,129.0,2019-04-17
Moti Mahal Delux,Veg Manchow Soup,120.0,2019-04-17
Behrouz Biryani (DLF Phase 2),Zaikedaar Paneer Biryani (Regular),304.0,2019-04-17
Behrouz Biryani (DLF Phase 2),Subz - E - Falafel Biryani (Regular),314.0,2019-04-17
Burger King  (MG Road),Paneer King Melt - Combo,228.0,2019-04-17
Burger King  (MG Road),Chicken Chilli Cheese Melt Combo,218.0,2019-04-17
Subway (Sector 46),Veggie Delite® Footlong,285.0,2019-04-17
KFC (DT Mega Mall),Big 8,0.0,2019-04-17
KFC (DT Mega Mall),,619.0,2019-04-17
Dana Choga's Kitchen (Qutub Plaza),Chilli Vegetable Roll,125.0,2019-04-17
Behrouz Biryani (Sushant Lok),Dum Gosht Biryani (Boneless),409.0,2019-04-17
KFC - DT City Centre,4pc Hot Wings*,123.0,2019-04-17
KFC - DT City Centre,2 Pc Hot & Crispy*,190.0,2019-04-17
Biryani Blues (MG Road),Kheema Biryani,425.0,2019-04-17
Behrouz Biryani (Sohna Road),Paneer Subz Biryani (Regular),333.0,2019-04-17
