price,area,psf,kind,address,society,bhk,config,avail,date
15000000,1350,11112,"Super built-up  Area
                    ",in Seawoods,,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
3750000,695,5395,"Super built-up  Area
                    ",in Dombivli (East),,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
4600000,780,5898,"Super built-up  Area
                    ",in Kalyan (West),Queens Court,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
39600000,2590,15290,"Super built-up  Area
                    ",in Sector 10 Kharghar,Kesar Exotica,4 BHK ,"5 Baths, 3+ Balconies",Ready To Move,2019-05-12
14500000,920,15800,"Carpet  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,3 BHK ,3 Baths,Possession in Dec  2026,2019-05-12
12000000,800,15000,"Super built-up  Area
                    ",in Tilak Nagar,,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
9900000,1050,9429,"Super built-up  Area
                    ",in Thane West,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
8256000,517,15970,"Carpet  Area
                    ",in Dahisar (East),Darvesh Horizon,2 BHK ,2 Baths,Possession in Dec  2020,2019-05-12
17000000,1092,15568,"Carpet  Area
                    ",in Thane West,,3 BHK ,3 Baths,Possession in Jul  2019,2019-05-12
10200000,528,19319,"Carpet  Area
                    ",in Thane West,,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
17000000,1120,15179,"Super built-up  Area
                    ",in Kandivali (East),,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
130000000,1800,72223,"Super built-up  Area
                    ",in Chamundeshwari Nagar,Maker Tower,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
88000000,2400,36667,"Built-up  Area
                    ",in Khar West,,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
6200000,985,6294,"Super built-up  Area
                    ",in Sector 17 Ulwe,Progressive Ivy,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
20000000,775,25807,"Carpet  Area
                    ",in Chembur,Prabhav Arisha,3 BHK ,3 Baths,New Launch,2019-05-12
18000000,940,19149,"Super built-up  Area
                    ",in Thakur Village,Ekta Meadows,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
55000000,2900,18966,"Built-up  Area
                    ",in Thane West,,6 BHK ,"6 Baths, 2 Balconies",Ready To Move,2019-05-12
9900000,660,15000,"Super built-up  Area
                    ",in Kandivali (East),,1 BHK ,2 Baths,Possession in Dec  2021,2019-05-12
14100000,669.51,21000,"Carpet  Area
                    ",in Kandivali (East),Godrej Tranquil,2 BHK ,2 Baths,Possession in Jun  2022,2019-05-12
90000000,5245,17160,"Built-up  Area
                    ",in Hiranandani Estate,Hiranandani Basilius,5 BHK ,"5 Baths, 1 Balcony",Ready To Move,2019-05-12
2700000,324,8333,"Super built-up  Area
                    ",in Kasar vadavali,, 1 RK ,1 Bath,Ready To Move,2019-05-12
100000000,4300,23255,"Built-up  Area
                    ",in Kandivali (East),Oberoi Gardens,4 BHK ,"4 Baths, 1 Balcony",Ready To Move,2019-05-12
11500000,1095,10502,"Super built-up  Area
                    ",in Thane West,Vijay The Residency,2 BHK ,2 Baths,Ready To Move,2019-05-12
4600000,774,5943,"Super built-up  Area
                    ",in Dombivli (East),Lodha Casa Bella Gold,2 BHK ,2 Baths,Ready To Move,2019-05-12
7000000,1000,7000,"Super built-up  Area
                    ",in Vasai West,Pam Solitaire Castle,2 BHK ,"2 Baths, 1 Balcony",Possession in Dec  2025,2019-05-12
7800000,411,18979,"Carpet  Area
                    ",in Thane West,,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
1730999,300,None,"Carpet  Area
                    ",in Badlapur (West),Heramb Park, 1 RK ,1 Bath,Possession in Jul  2019,2019-05-12
22500000,1755,12821,"Super built-up  Area
                    ",in Majiwada,Lodha Luxuria Priva,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
5385000,920,5853,"Super built-up  Area
                    ",in Karanjade,Surya Shubh Kalash,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
18500000,1125,16445,"Super built-up  Area
                    ",in Hiranandani Estate,,3 BHK ,3 Baths,Ready To Move,2019-05-12
6100000,920,6630,"Super built-up  Area
                    ",in Mira Road East,Evershine Woods,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
7400000,720,10278,"Super built-up  Area
                    ",in Kolshet Road,Lodha Amara,1 BHK ,2 Baths,Ready To Move,2019-05-12
25500000,1830,13935,"Super built-up  Area
                    ",in Lokhandwala Kandivali East,Lokhandwala Whispering Palms Xxclusives,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
5500000,390,None,"Carpet  Area
                    ",in Kalyan (East),West Pioneer Metro Grande,1 BHK ,1 Bath,Possession in Dec  2020,2019-05-12
42500000,2000,21250,"Built-up  Area
                    ",in Borivali (West),,4 BHK ,3 Baths,Ready To Move,2019-05-12
13500000,760,17764,"Super built-up  Area
                    ",in Andheri (East),Mahindra Vivante,1 BHK ,"1 Bath, 1 Balcony",Possession in Dec  2021,2019-05-12
8979000,976,9200,"Super built-up  Area
                    ",in Majiwada,Rustomjee Urbania,2 BHK ,2 Baths,Ready To Move,2019-05-12
110000000,3200,34375,"Super built-up  Area
                    ",in Hiranandani Gardens - Powai,,4 BHK ,"5 Baths, 3 Balconies",Ready To Move,2019-05-12
9500000,1052,9031,"Super built-up  Area
                    ",in Vartak Nagar,Ashar Metro Towers,2 BHK ,"2 Baths, 1 Balcony",Possession in Dec  2022,2019-05-12
11000000,940,11702,"Super built-up  Area
                    ",in Dahisar (East),,2 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
16000000,910,17582,"Super built-up  Area
                    ",in Kandivali (West),HDIL Dheeraj Presidency,2 BHK ,2 Baths,Ready To Move,2019-05-12
8900000,1028,8658,"Super built-up  Area
                    ",in Ghodbunder Road,Lodha Splendora,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
4600000,645,7131,"Super built-up  Area
                    ",in Bevarly Park,,1 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
20200000,1100,18333,"Carpet  Area
                    ",in Thane West,Shapoorji Northern Lights,3 BHK ,,New Launch,2019-05-12
33500000,1050,31905,"Built-up  Area
                    ",in Santacruz (West),,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
12500000,667,18741,"Carpet  Area
                    ",in Hiranandani Estate,Rosa Manhattan,2 BHK ,2 Baths,New Launch,2019-05-12
4500000,560,8036,"Super built-up  Area
                    ",in Mira Road,,1 BHK ,2 Baths,Ready To Move,2019-05-12
20600000,1240,16613,"Super built-up  Area
                    ",in Manpada,Neelkanth D3 Zinnia,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
8500000,407,20885,"Carpet  Area
                    ",in Tilak Nagar,,1 BHK ,1 Bath,Ready To Move,2019-05-12
43000000,1820,23627,"Super built-up  Area
                    ",in Goregaon (East),Oberoi Exquisite,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
62000000,2500,24800,"Super built-up  Area
                    ",in Juhu,,4 BHK ,"4 Baths, 1 Balcony",Ready To Move,2019-05-12
4000000,550,7272,"Super built-up  Area
                    ",in Bevarly Park,,1 BHK ,"1 Bath, 2 Balconies",Ready To Move,2019-05-12
8100000,1000,8100,"Super built-up  Area
                    ",in Bevarly Park,Star Paradise,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
16000000,1210,13224,"Super built-up  Area
                    ",in Nerul,Akshar Alvario,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
11200000,521,21500,"Carpet  Area
                    ",in Thane West,Kalpataru Paramount,2 BHK ,2 Baths,Possession in Jun  2024,2019-05-12
10500000,900,11667,"Super built-up  Area
                    ",in Thane West,,2 BHK ,2 Baths,Ready To Move,2019-05-12
5900000,788,7488,"Super built-up  Area
                    ",in Mira Road East,RNA NG Silver Spring,1 BHK ,"2 Baths, 3 Balconies",Possession in Dec  2019,2019-05-12
50000000,1900,26316,"Built-up  Area
                    ",in Andheri (West),Poseidon Apartment,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
23500000,1404,16737,"Super built-up  Area
                    ",in Goregaon (East),Lodha Fiorenza,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
12200000,650,18770,"Super built-up  Area
                    ",in Wadala,Emgee Greens,1 BHK ,1 Bath,Ready To Move,2019-05-12
87500000,2200,39772,"Super built-up  Area
                    ",in Bandra (West),,3 BHK ,"4 Baths, 2 Balconies",Ready To Move,2019-05-12
11200000,1100,10182,"Super built-up  Area
                    ",in Brahmand,,3 BHK ,3 Baths,Ready To Move,2019-05-12
8050000,410,19634,"Built-up  Area
                    ",in Tagore Nagar,Balkrishna Rohini Niwas,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
23500000,892,26346,"Carpet  Area
                    ",in Goregaon (East),DB Woods,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
9500000,430,22094,"Carpet  Area
                    ",in Goregaon (East),Kshitij CHS,1 BHK ,2 Baths,Ready To Move,2019-05-12
20500000,985,20813,"Super built-up  Area
                    ",in Powai,L and T Emerald Isle,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
15500000,975,15898,"Super built-up  Area
                    ",in Malad (East),F Residences,2 BHK ,2 Baths,Possession in Dec  2019,2019-05-12
22500000,1420,15846,"Super built-up  Area
                    ",in Goregaon (East),DB Woods,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
6800000,424,16038,"Carpet  Area
                    ",in Thane West,Ashar Codename Golden Mile,1 BHK ,2 Baths,Possession in Dec  2020,2019-05-12
14800000,927,16000,"Carpet  Area
                    ",in Thane West,Ashar Sapphire And Galleria,3 BHK ,3 Baths,Possession in Dec  2019,2019-05-12
46200000,2340,19744,"Super built-up  Area
                    ",in Thane West,Lodha Sterling,4 BHK ,"4 Baths, 3 Balconies",Possession in Jul  2019,2019-05-12
11000000,950,11579,"Super built-up  Area
                    ",in Sector-50 Seawoods,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
9745000,699,13941,"Carpet  Area
                    ",in Majiwada,Rustomjee Azziano,2 BHK ,2 Baths,Ready To Move,2019-05-12
7200000,1156,6228,"Super built-up  Area
                    ",in Panvel,Indiabulls Greens,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
22500000,2000,11250,"Super built-up  Area
                    ",in Thane West,,3 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
57 L ,652,None,"Carpet  Area
                    ",in Dronagiri,Infinity Elite,2 BHK ,2 Baths,Possession in Jun  2020,2019-05-12
16700000,1005,16617,"Super built-up  Area
                    ",in Kandivali (East),,2 BHK ,2 Baths,Ready To Move,2019-05-12
6562000,418,15699,"Carpet  Area
                    ",in Thane West,Lodha Sterling,1 BHK ,1 Bath,Possession in Sep  2020,2019-05-12
40000000,1600,25000,"Super built-up  Area
                    ",in Amboli,,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
8500000,1730,4913,"Super built-up  Area
                    ",in  Kasheli,,3 BHK ,3 Baths,Ready To Move,2019-05-12
15500000,1550,10000,"Super built-up  Area
                    ",in Manpada,Acme Dandelia,3 BHK ,3 Baths,Ready To Move,2019-05-12
7200000,855,8422,"Super built-up  Area
                    ",in Thane West,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
19000000,1100,17272,"Super built-up  Area
                    ",in Orlem,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
150000000,2100,71428,"Super built-up  Area
                    ",in Cuffe Parade,Jolly Maker Apartment,3 BHK ,"4 Baths, 2 Balconies",Ready To Move,2019-05-12
31300000,857,36465,"Carpet  Area
                    ",in Bandra Kurla Complex,Kanakia Paris,2 BHK ,2 Baths,Possession in Sep  2019,2019-05-12
15600000,1205,12947,"Super built-up  Area
                    ",in Jankalyan Nagar,Gurukrupa Marina Enclave,2 BHK ,2 Baths,Ready To Move,2019-05-12
45000000,1400,32143,"Super built-up  Area
                    ",in Khar West,Koumari Apartment,2 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
13100000,920,14200,"Carpet  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,3 BHK ,3 Baths,Possession in Dec  2026,2019-05-12
24000000,1576,15229,"Super built-up  Area
                    ",in Bhandup (West),Kalpataru Crest,3 BHK ,3 Baths,Ready To Move,2019-05-12
3900000,594,6565,"Built-up  Area
                    ",in Dombivli (East),,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
80000000,1400,57143,"Carpet  Area
                    ",in Khar West,,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
14500000,1050,13809,"Super built-up  Area
                    ",in Malad (East),Fressia Ranibello,2 BHK ,2 Baths,Ready To Move,2019-05-12
15200000,1250,12120,"Super built-up  Area
                    ",in Lokhandwala Kandivali East,Lokhandwala Sapphire Heights,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
65000000,1900,34210,"Super built-up  Area
                    ",in Khar West,,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
7800000,600,13000,"Super built-up  Area
                    ",in Airoli,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
12800000,1150,11131,"Super built-up  Area
                    ",in Hiranandani Meadows,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
37500000,850,44118,"Super built-up  Area
                    ",in Breach Candy,,1 BHK ,2 Baths,Ready To Move,2019-05-12
19500000,1000,19500,"Super built-up  Area
                    ",in Hiranandani Gardens - Powai,Hiranandani Princeton CHS,2 BHK ,2 Baths,Ready To Move,2019-05-12
19000000,1620,11729,"Super built-up  Area
                    ",in Thane West,Lodha Sterling,3 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
15300000,603,25373,"Carpet  Area
                    ",in Vikhroli (West),Blumen,2 BHK ,2 Baths,Possession in Dec  2022,2019-05-12
11000000,1070,10280,"Super built-up  Area
                    ",in Brahmand,,2 BHK ,2 Baths,Ready To Move,2019-05-12
15600000,723,21541,"Carpet  Area
                    ",in Mulund (West),Sheth Montana,2 BHK ,,Possession in Dec  2022,2019-05-12
17400000,1475,11797,"Built-up  Area
                    ",in Hiranandani Estate,Rosa Manhattan,3 BHK ,"3 Baths, 3+ Balconies",Possession in Jun  2021,2019-05-12
6900000,580,11896,"Built-up  Area
                    ",in Vasant Vihar,,1 BHK ,2 Baths,Ready To Move,2019-05-12
8000000,990,8080,"Super built-up  Area
                    ",in Bevarly Park,Ostwal Orchid,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
170000000,3500,48571,"Super built-up  Area
                    ",in Juhu,,4 BHK ,"4 Baths, 3+ Balconies",Ready To Move,2019-05-12
22000000,848,25943,"Carpet  Area
                    ",in Thane West,Hubtown Lakeview Chalets,2 BHK ,2 Baths,Ready To Move,2019-05-12
4022000,340,11828,"Built-up  Area
                    ",in Kandivali (West),, 1 RK ,1 Bath,Ready To Move,2019-05-12
7500000,750,10000,"Super built-up  Area
                    ",in LBS Marg,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
7800000,850,9177,"Super built-up  Area
                    ",in Thane West,Swastik Park CHS,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
32300000,1620,19939,"Built-up  Area
                    ",in Deonar,Raheja Shakti Unicus,3 BHK ,2 Baths,Ready To Move,2019-05-12
