restaurant,items,price,date
Bhagwati Veg Restaurant,Dal Tadka,135.0,2019-04-17
Sai Punjab,Paneer Butter Masala,180.0,2019-04-17
Sai Punjab,Kadhai Paneer,180.0,2019-04-17
The Bohri Fusion,Paneer Makhani Roll,199.0,2019-04-17
The Bohri Fusion,Baked Vegetable Egg Roll,199.0,2019-04-17
Subway (Powai),Veg Seekh,200.0,2019-04-17
Subway (Powai),Hara Bhara Kebab,200.0,2019-04-17
Vinisha Food Corner,Crispy Baby Corn,200.0,2019-04-17
Vinisha Food Corner,Gobhi Manchurian,180.0,2019-04-17
Mandarin Panda,Paneer Satay,289.0,2019-04-17
Mandarin Panda,Crab Sweet Corn Soup,209.0,2019-04-17
New Lom Chings,Veg. Rambo Soup,150.0,2019-04-17
New Lom Chings,Chicken Spicy Onion Soup,150.0,2019-04-17
Behrouz Biryani (Powai),Zaikedaar Paneer Biryani (Regular),304.0,2019-04-17
Behrouz Biryani (Powai),Lazeez Bhuna Murgh Biryani (Boneless) (Regular),323.0,2019-04-17
Thali & Combos By Treat,Samosa Pav,60.0,2019-04-17
Thali & Combos By Treat,Bread Besan Toast,50.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Chicken Kebab Wrap McSaver,149.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Chicken Kebab Burger McSaver,159.0,2019-04-17
McDonald's (Fun Republic),Mexican McAloo Tikki McSaver,133.0,2019-04-17
McDonald's (Fun Republic),McAloo Tikki McSaver,118.0,2019-04-17
The Spot,Chicken Cheese Burger,80.0,2019-04-17
The Spot,Chicken Schezwan Burger,75.0,2019-04-17
The Light Kitchen,Falafel and Hummus Wrap,165.0,2019-04-17
The Light Kitchen,Ceaser Salad Wrap,150.0,2019-04-17
Domino's Pizza,2 Pizzas at 199 each Select any 2 Medium Pizzas Worth 305 @ 199 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 199 each Select any 2 Medium Pizzas Worth 305 @ 199 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 199 each Select any 2 Medium Pizzas Worth 305 @ 199 each,0.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Lemon Coriander Soup,116.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Munchow Soup,110.0,2019-04-17
Bhagwati Veg Restaurant,Cheese Pav Bhaji,140.0,2019-04-17
Sai Punjab,Dal Makhani,155.0,2019-04-17
The Bohri Fusion,Chicken Kathi Roll,209.0,2019-04-17
The Bohri Fusion,Chicken Makhani Roll,209.0,2019-04-17
Subway (Powai),Mexican Patty,200.0,2019-04-17
Subway (Powai),Paneer Tikka,200.0,2019-04-17
Vinisha Food Corner,Chilli Mushroom,190.0,2019-04-17
Vinisha Food Corner,Paneer Pakoda,190.0,2019-04-17
Mandarin Panda,Spicy Crab Meat Soup,209.0,2019-04-17
Mandarin Panda,Executive Seafood,209.0,2019-04-17
New Lom Chings,Chicken Rambo Soup,170.0,2019-04-17
New Lom Chings,Chicken Lung Fung Soup,160.0,2019-04-17
Behrouz Biryani (Powai),Murgh Makhani Kefta Biryani (Regular),352.0,2019-04-17
Behrouz Biryani (Powai),Paneer Subz Biryani (Regular),333.0,2019-04-17
Thali & Combos By Treat,Veg. Cutlet,75.0,2019-04-17
Thali & Combos By Treat,Poha,60.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Green Chilli Kebab Naan,146.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Mexican Aloo Wrap McSaver,139.0,2019-04-17
McDonald's (Fun Republic),,325.0,2019-04-17
McDonald's (Fun Republic),,325.0,2019-04-17
The Spot,Chicken Schezwan Cheese Burger,85.0,2019-04-17
The Spot,Chicken Barbecue Burger,80.0,2019-04-17
The Light Kitchen,Scrambled Egg Wrap,175.0,2019-04-17
The Light Kitchen,Farmer's Egg Wrap,175.0,2019-04-17
Domino's Pizza,2 Pizzas at 249 each Select any 2 Medium Pizzas Worth 385 @ 249 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 299 each Select any 2 Medium Pizzas Worth 450 @ 299 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 249 each Select any 2 Medium Pizzas Worth 385 @ 249 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 299 each Select any 2 Medium Pizzas Worth 450 @ 299 each,0.0,2019-04-17
